שם צבע (Color Name),קוד צבע (Color Code),RGB,HEX
Feels like Cotton,0015P,"rgb(230,224,212)",#E6E0D4
Morning Haze,0016P,"rgb(230,220,203)",#E6DCCB
Love is in the Air,0017P,"rgb(243,236,225)",#F3ECE1
Sleepless,0018P,"rgb(243,234,218)",#F3EADA
Wonderful White,0019P,"rgb(242,235,221)",#F2EBDD
Sunny Day,0020P,"rgb(241,230,210)",#F1E6D2
Swan Lake,0021P,"rgb(236,232,224)",#ECE8E0
Patience,0022P,"rgb(228,223,212)",#E4DFD4
Sweet Imagination,0023P,"rgb(233,225,212)",#E9E1D4
Day Dreaming,0024P,"rgb(234,225,210)",#EAE1D2
Toast and Butter,0025P,"rgb(227,222,213)",#E3DED5
Ballet Slippers,0026P,"rgb(232,226,219)",#E8E2DB
Home Sweet Home,0027P,"rgb(226,223,219)",#E2DFDB
Forever Autumn,0028P,"rgb(222,223,220)",#DEDFDC
Tiny Pink,0029P,"rgb(233,220,221)",#E9DCDD
Pink Bubble,0030P,"rgb(234,210,215)",#EAD2D7
Candy Floss,0031P,"rgb(233,192,204)",#E9C0CC
Turkey Dimple,0032T,"rgb(225,166,188)",#E1A6BC
Dahlia Delight,0033T,"rgb(210,140,168)",#D28CA8
PEONY BLOOMS,0034A,"rgb(192,112,145)",#C07091
Mystic Tulip,0035A,"rgb(159,74,109)",#9F4A6D
Satin Slipper,0036P,"rgb(237,225,225)",#EDE1E1
Blush of Spring,0037P,"rgb(236,208,211)",#ECD0D3
Be Mine,0038P,"rgb(236,190,199)",#ECBEC7
Ella Rose,0039T,"rgb(230,171,186)",#E6ABBA
Punch of Pink,0040T,"rgb(217,142,164)",#D98EA4
VALENTINO ROSE,0041A,"rgb(201,111,140)",#C96F8C
Fuscia Fizz,0042A,"rgb(177,72,106)",#B1486A
Porcelain Rose,0043P,"rgb(236,223,223)",#ECDFDF
Romantic Night,0044P,"rgb(239,211,214)",#EFD3D6
Pretty in Pink,0045P,"rgb(235,192,200)",#EBC0C8
Bubble Gum Pinkish,0046T,"rgb(232,168,178)",#E8A8B2
Precious Peony,0047T,"rgb(225,144,160)",#E190A0
ELIZABETH ROSE,0048A,"rgb(211,112,137)",#D37089
Strawberry Whip,0049A,"rgb(179,77,107)",#B34D6B
Hint of Rose,0050P,"rgb(239,225,224)",#EFE1E0
Blooming Perfect,0051P,"rgb(242,212,212)",#F2D4D4
Wild Flower,0052P,"rgb(241,191,193)",#F1BFC1
Impatient Heart,0053T,"rgb(237,172,178)",#EDACB2
Pleasing Pink,0054T,"rgb(227,143,154)",#E38F9A
BRIGHT BLUSH,0055A,"rgb(210,110,127)",#D26E7F
Go Go Red,0056A,"rgb(186,75,97)",#BA4B61
Creamy Pink,0057P,"rgb(238,224,222)",#EEE0DE
Innocent Pink,0058P,"rgb(241,209,208)",#F1D1D0
Blushing Bride,0059P,"rgb(241,191,191)",#F1BFBF
Just About Pink,0060P,"rgb(239,174,176)",#EFAEB0
Shy Peach,0061T,"rgb(235,146,148)",#EB9294
OOH LA LA,0062A,"rgb(223,110,119)",#DF6E77
Lady in Red,0063A,"rgb(197,81,95)",#C5515F
Pink Thoughts,0064P,"rgb(237,225,221)",#EDE1DD
Coral Beach,0065P,"rgb(243,211,207)",#F3D3CF
Peach Melon,0066P,"rgb(245,191,185)",#F5BFB9
Slightly Coral,0067T,"rgb(242,161,160)",#F2A1A0
CHILD&#39;S SMILE,0068T,"rgb(239,143,142)",#EF8F8E
SUNSET ROUGE,0069A,"rgb(228,112,111)",#E4706F
Njabulo,0070A,"rgb(203,80,83)",#CB5053
Delicate Lace,0071P,"rgb(237,227,223)",#EDE3DF
Peach Kiss,0072P,"rgb(245,210,204)",#F5D2CC
Dreamsicle,0073P,"rgb(248,186,178)",#F8BAB2
Peaceful Peach,0074T,"rgb(246,167,157)",#F6A79D
Hope,0075T,"rgb(244,144,136)",#F49088
FUZZY PEACH,0076A,"rgb(232,115,104)",#E87368
Red Flame,0077A,"rgb(209,73,64)",#D14940
Rose Tint,0078P,"rgb(231,215,217)",#E7D7D9
Sea Shell Pink,0079P,"rgb(227,203,209)",#E3CBD1
Ashes of Roses,0080P,"rgb(216,181,192)",#D8B5C0
Rose Dawn,0081T,"rgb(207,157,173)",#CF9DAD
Minuet Waltz,0082T,"rgb(191,137,158)",#BF899E
PUNKY PINK,0083A,"rgb(172,110,135)",#AC6E87
Groovy Grape,0084A,"rgb(145,77,104)",#914D68
Baby Blush,0085P,"rgb(232,219,219)",#E8DBDB
Quiet Alcove,0086P,"rgb(228,201,205)",#E4C9CD
Acacia Bloom,0087P,"rgb(219,179,190)",#DBB3BE
Lady Flower,0088T,"rgb(209,158,171)",#D19EAB
Persian Delight,0089T,"rgb(196,136,152)",#C48898
ROMEO,0090A,"rgb(177,106,127)",#B16A7F
KING&#39;S CLOAK,0091A,"rgb(151,71,97)",#974761
Moon Rose,0092P,"rgb(231,218,218)",#E7DADA
Loving,0093P,"rgb(229,201,202)",#E5C9CA
Pale Lipstick,0094P,"rgb(222,180,186)",#DEB4BA
Dainty Debutante,0095T,"rgb(218,161,170)",#DAA1AA
Pink Grapefruit,0096T,"rgb(204,136,150)",#CC8896
MEADOW SWEET,0097A,"rgb(188,108,123)",#BC6C7B
Garnet Shadow,0098A,"rgb(161,76,96)",#A14C60
Little Bambino,0099P,"rgb(231,217,214)",#E7D9D6
Petticoat Tails,0100P,"rgb(233,201,203)",#E9C9CB
Roseanne,0101P,"rgb(232,182,184)",#E8B6B8
Monterrey Rose,0102T,"rgb(224,158,164)",#E09EA4
Carnation Bouquet,0103T,"rgb(208,136,144)",#D08890
WILD PINK,0104A,"rgb(192,109,120)",#C06D78
Rickshaw Red,0105A,"rgb(172,76,91)",#AC4C5B
Baked Alaska,0106P,"rgb(233,216,213)",#E9D8D5
Ruby Tuesday,0107P,"rgb(235,200,199)",#EBC8C7
Cool Rosewater,0108P,"rgb(232,182,183)",#E8B6B7
Fragile Petal,0109T,"rgb(224,159,160)",#E09FA0
Miami Pink,0110T,"rgb(215,139,142)",#D78B8E
BELLE AURORE,0111A,"rgb(199,111,116)",#C76F74
Lobster Red,0112A,"rgb(176,80,91)",#B0505B
CANDLE&#39;S GLOWING LIGHT,0113P,"rgb(232,218,214)",#E8DAD6
Tender Shrimp,0114P,"rgb(235,200,197)",#EBC8C5
Love Light Chiffon,0115P,"rgb(234,182,179)",#EAB6B3
Endless Possibilities,0116T,"rgb(227,161,159)",#E3A19F
Adobe Desert,0117T,"rgb(215,137,133)",#D78985
LOBSTER BISQUE,0118A,"rgb(203,109,107)",#CB6D6B
Hot-n-Spicy,0119A,"rgb(176,76,78)",#B04C4E
White Surrender,0120P,"rgb(233,219,214)",#E9DBD6
Pink Marshmallow,0121P,"rgb(235,199,193)",#EBC7C1
Sweet Honeysuckle,0122P,"rgb(233,180,173)",#E9B4AD
Unmatched Beauty,0123T,"rgb(227,162,153)",#E3A299
Tropical Heat,0124T,"rgb(217,137,129)",#D98981
CHAKALAKA,0125A,"rgb(203,110,100)",#CB6E64
Burnt Horizon,0126A,"rgb(177,72,68)",#B14844
Pink Candle,0127P,"rgb(224,209,212)",#E0D1D4
Bleeding Heart,0128P,"rgb(207,185,192)",#CFB9C0
Odessa,0129T,"rgb(188,156,168)",#BC9CA8
LOVER&#39;S IDYLL,0130T,"rgb(175,141,155)",#AF8D9B
DIXIE ROSE,0131T/A,"rgb(161,119,135)",#A17787
BRANDY,0132A,"rgb(142,95,113)",#8E5F71
Very Berry,0133A,"rgb(127,76,95)",#7F4C5F
Angel Tears,0134P,"rgb(221,206,207)",#DDCECF
Beautiful Pink,0135P,"rgb(208,182,188)",#D0B6BC
Fantastic Pink,0136T,"rgb(193,159,166)",#C19FA6
LOVER&#39;S KISS,0137T,"rgb(177,140,151)",#B18C97
PINK EMPIRE,0138T/A,"rgb(164,116,130)",#A47482
SUMMER BLUSH,0139A,"rgb(146,94,113)",#925E71
Swazi,0140A,"rgb(136,77,94)",#884D5E
Rose Shadow,0141P,"rgb(223,205,205)",#DFCDCD
Abby Rose,0142P,"rgb(212,184,188)",#D4B8BC
Beige Rose,0143T,"rgb(195,159,166)",#C39FA6
Garden Rose,0144T,"rgb(183,140,148)",#B78C94
MARBLE PINK,0145T/A,"rgb(171,119,129)",#AB7781
DECO PINK,0146A,"rgb(154,96,108)",#9A606C
Red Red Wine,0147A,"rgb(136,74,88)",#884A58
Rosy Cloud,0148P,"rgb(225,206,206)",#E1CECE
Kisses for You,0149P,"rgb(211,181,182)",#D3B5B6
Blushing Butterfly,0150P,"rgb(199,162,164)",#C7A2A4
Kiss of Dawn,0151T,"rgb(185,136,143)",#B9888F
Mesa Ridge,0152T,"rgb(172,119,124)",#AC777C
BRYCE CANYON,0153A,"rgb(155,97,106)",#9B616A
Merry Go Round,0154A,"rgb(135,70,81)",#874651
GRANDMA&#39;S PEARL,0155P,"rgb(224,205,204)",#E0CDCC
Shy Pink,0156P,"rgb(208,180,179)",#D0B4B3
Blushing Girl,0157T,"rgb(205,163,164)",#CDA3A4
Matador Rose,0158T,"rgb(194,138,143)",#C28A8F
DUSTY PEACH,0159T/A,"rgb(176,118,123)",#B0767B
SIENNA CANYON,0160A,"rgb(163,94,97)",#A35E61
Hot Terracotta,0161A,"rgb(146,72,77)",#92484D
Waterlily Bay,0162P,"rgb(224,207,204)",#E0CFCC
Blooming in Pink,0163P,"rgb(210,180,177)",#D2B4B1
Rosehill,0164T,"rgb(201,164,162)",#C9A4A2
Floral Fantasy,0165T,"rgb(190,136,138)",#BE888A
REEF RUST,0166A,"rgb(180,117,119)",#B47577
ROOIBOS,0167A,"rgb(166,97,96)",#A66160
French Kiss,0168A,"rgb(151,73,70)",#974946
White Knight,0169P,"rgb(222,206,201)",#DECEC9
Peach Cobbler,0170P,"rgb(208,180,177)",#D0B4B1
Morning Clay,0171P,"rgb(207,165,158)",#CFA59E
Cozy Feeling,0172T,"rgb(192,143,138)",#C08F8A
Party Time,0173T,"rgb(180,122,115)",#B47A73
MAJESTIC PROMENADE,0174A,"rgb(166,101,94)",#A6655E
Just Terracotta,0175A,"rgb(157,74,67)",#9D4A43
Sea Oyster,0176P,"rgb(210,196,198)",#D2C4C6
Lunar Rock,0177P,"rgb(190,172,179)",#BEACB3
Raspberry Beret,0178T,"rgb(173,153,159)",#AD999F
Berry Mousse,0179T,"rgb(155,132,142)",#9B848E
CHOC BERRY,0180A,"rgb(138,115,125)",#8A737D
BERRY CRUSH,0181A,"rgb(125,96,106)",#7D606A
Red Wine,0182A,"rgb(106,73,85)",#6A4955
Pink Duet,0183P,"rgb(208,193,195)",#D0C1C3
Antoinette Pink,0184P,"rgb(189,172,175)",#BDACAF
Belle Vista,0185T,"rgb(174,152,156)",#AE989C
Mussel Shell,0186T,"rgb(158,133,140)",#9E858C
VINTAGE PINK,0187T/A,"rgb(143,117,123)",#8F757B
INDIAN HILLS,0188A,"rgb(127,94,101)",#7F5E65
Emperor’s Robe,0189A,"rgb(114,74,85)",#724A55
Wedding Rose,0190P,"rgb(212,195,195)",#D4C3C3
Poppy Prose,0191P,"rgb(193,174,177)",#C1AEB1
Wonderland,0192T,"rgb(173,151,155)",#AD979B
Abigail Pink,0193T,"rgb(159,133,138)",#9F858A
QUEEN&#39;S ROSE,0194A,"rgb(145,115,121)",#917379
HERALD OF SPRING,0195A,"rgb(127,93,101)",#7F5D65
Rococo Red,0196A,"rgb(111,74,82)",#6F4A52
White Kitten,0197P,"rgb(217,197,196)",#D9C5C4
Ethereal Dream,0198P,"rgb(193,172,171)",#C1ACAB
Pink Expression,0199T,"rgb(181,155,157)",#B59B9D
Spring Pride,0200T,"rgb(161,134,136)",#A18688
MA CHERIE,0201A,"rgb(148,114,119)",#947277
EYE CATCHER,0202A,"rgb(130,93,97)",#825D61
Chestnut Filly,0203A,"rgb(121,75,82)",#794B52
Apple Blush,0204P,"rgb(214,194,192)",#D6C2C0
Big Smile,0205P,"rgb(193,171,171)",#C1ABAB
Magic Lily,0206T,"rgb(183,156,157)",#B79C9D
Roseum,0207T,"rgb(164,133,134)",#A48586
BELL SONG,0208A,"rgb(150,116,119)",#967477
SUMMER BERRY,0209A,"rgb(141,97,99)",#8D6163
African Queen,0210A,"rgb(119,73,75)",#77494B
Scented Candles,0211P,"rgb(212,194,193)",#D4C2C1
Oriental Lily,0212P,"rgb(191,171,170)",#BFABAA
Pink Stone,0213T,"rgb(178,154,152)",#B29A98
Hidden Seashell,0214T,"rgb(166,135,134)",#A68786
BAUER BROWN,0215A,"rgb(154,117,116)",#9A7574
TERRA NOVA,0216A,"rgb(138,94,92)",#8A5E5C
Mahogany Magic,0217A,"rgb(120,74,71)",#784A47
Choc Milkshake,0218P,"rgb(212,195,192)",#D4C3C0
Careless Whisper,0219P,"rgb(190,173,171)",#BEADAB
Sandbar,0220T,"rgb(176,153,150)",#B09996
Oriental Magic,0221T,"rgb(166,135,132)",#A68784
Ruffles,0222T,"rgb(153,120,117)",#997875
LEATHER BOUND,0223A,"rgb(141,101,97)",#8D6561
Eclaire,0224A,"rgb(127,77,71)",#7F4D47
Pink Dusk,0225P,"rgb(199,183,187)",#C7B7BB
White on Rice,0226T,"rgb(179,162,167)",#B3A2A7
Dried Heather,0227T,"rgb(162,145,150)",#A29196
Baby Seal,0228T,"rgb(142,127,133)",#8E7F85
STONEVILLE,0229A,"rgb(124,111,117)",#7C6F75
Woodvine,0230A,"rgb(102,88,93)",#66585D
Sable Antelope,0231A,"rgb(87,72,77)",#57484D
Pale Daisy,0232P,"rgb(203,187,190)",#CBBBBE
MONUMENT MARBLE,0233P/T,"rgb(179,164,167)",#B3A4A7
MUSEE D&#39;ORSAY,0234T,"rgb(164,148,153)",#A49499
Milky Ridge,0235T,"rgb(142,128,133)",#8E8085
FLORIDA SAND,0236A,"rgb(126,111,114)",#7E6F72
Star of Morning,0237A,"rgb(103,87,93)",#67575D
Metro,0238A,"rgb(86,71,76)",#56474C
Savanna,0239P,"rgb(197,182,183)",#C5B6B7
DESERT VIEW,0240P/T,"rgb(181,165,167)",#B5A5A7
Fox Burrow,0241T,"rgb(161,144,147)",#A19093
Chapel Wall,0242T,"rgb(144,127,130)",#907F82
SUMMER#S EVE,0243A,"rgb(125,109,111)",#7D6D6F
CASA BLANCA,0244A,"rgb(110,89,93)",#6E595D
Beautiful Brown Eyes,0245A,"rgb(88,69,72)",#584548
Sugary Dust,0246P,"rgb(200,184,185)",#C8B8B9
Beige Rage,0247T,"rgb(178,162,164)",#B2A2A4
Teddy,0248T,"rgb(158,144,146)",#9E9092
Rural Road,0249T,"rgb(147,129,131)",#938183
KENROSE,0250A,"rgb(125,107,110)",#7D6B6E
ROLLING ROCK,0251A,"rgb(113,92,93)",#715C5D
Bitter Chocolate,0252A,"rgb(86,69,70)",#564546
Rasputin,0253P,"rgb(204,186,186)",#CCBABA
SEMISWEET,0254P/T,"rgb(180,165,166)",#B4A5A6
Spicy Beige,0255T,"rgb(163,147,148)",#A39394
Cappuccino,0256T,"rgb(149,130,130)",#958282
COACH HOUSE,0257A,"rgb(127,108,108)",#7F6C6C
OLD OAK TREE,0258A,"rgb(112,88,91)",#70585B
Earthbound,0259A,"rgb(98,75,76)",#624B4C
Buffy,0260P,"rgb(202,186,182)",#CABAB6
SPICE NUT,0261P/T,"rgb(180,166,165)",#B4A6A5
Stony Field,0262T,"rgb(167,155,155)",#A79B9B
Almond Rocha,0263T,"rgb(147,129,128)",#938180
WINWARD,0264A,"rgb(132,112,110)",#84706E
TAN BONANZA,0265A,"rgb(114,91,90)",#725B5A
Chocolate Delight,0266A,"rgb(98,73,71)",#624947
Incense,0267P,"rgb(196,183,181)",#C4B7B5
BEAUTIFUL BEIGE,0268P/T,"rgb(181,166,163)",#B5A6A3
Misty Beige,0269T,"rgb(161,145,143)",#A1918F
Bluff Beige,0270T,"rgb(148,131,129)",#948381
PUDDING BAR,0271A,"rgb(133,115,113)",#857371
RANCHO SANTA FE,0272A,"rgb(115,92,89)",#735C59
Deep Woods,0273A,"rgb(95,72,69)",#5F4845
PINK.INBAR&#39;S SIGNATURE COLOR,1996A,"rgb(192,96,139)",#C0608B
Apricot Brandy,0274P,"rgb(239,226,220)",#EFE2DC
Summer Secret,0275P,"rgb(246,211,203)",#F6D3CB
COUNTRY GIRL,0276P/T,"rgb(245,185,171)",#F5B9AB
Jewel Mark,0277T,"rgb(248,173,156)",#F8AD9C
CHIC BOTIQUE,0278T/A,"rgb(248,146,127)",#F8927F
HAPPY HAPPY,0279A,"rgb(238,119,100)",#EE7764
Clown Fish,0280A,"rgb(220,86,63)",#DC563F
Pale Tulip,0281P,"rgb(241,228,222)",#F1E4DE
Apricot Mousse,0282P,"rgb(246,214,203)",#F6D6CB
Magical Marlene,0283P,"rgb(248,194,177)",#F8C2B1
Peachy Cream,0284T,"rgb(249,174,151)",#F9AE97
Candy Stick,0285T,"rgb(250,153,126)",#FA997E
FRENCH MARIGOLD,0286A,"rgb(247,127,97)",#F77F61
Day Lily Dream,0287A,"rgb(230,95,59)",#E65F3B
Waxen Moon,0288P,"rgb(241,227,220)",#F1E3DC
Colonial Dream,0289P,"rgb(246,214,200)",#F6D6C8
Sandpaper,0290P,"rgb(251,195,174)",#FBC3AE
Peach Party,0291T,"rgb(250,174,148)",#FAAE94
HOORAY,0292T/A,"rgb(250,155,122)",#FA9B7A
ORANGE JUICE,0293A,"rgb(250,132,92)",#FA845C
Tangerine Tango,0294A,"rgb(232,106,60)",#E86A3C
Sodona,0295P,"rgb(241,227,220)",#F1E3DC
Double Happiness,0296P,"rgb(248,214,199)",#F8D6C7
Nursery Rhyme,0297P,"rgb(250,196,171)",#FAC4AB
Sweet Tart,0298T,"rgb(250,178,148)",#FAB294
Giggling Girl,0299T,"rgb(253,164,124)",#FDA47C
ORANGE ZEST,0300A,"rgb(252,139,89)",#FC8B59
Cedarburg,0301A,"rgb(237,115,57)",#ED7339
Candle Light,0302P,"rgb(241,229,222)",#F1E5DE
Blonde Shell,0303P,"rgb(248,220,203)",#F8DCCB
Marshmallow Miss,0304P,"rgb(251,200,174)",#FBC8AE
Orange Delight,0305T,"rgb(251,183,148)",#FBB794
SIMMERED SUN,0306T/A,"rgb(251,169,122)",#FBA97A
TANGERINE TWIST,0307A,"rgb(252,150,90)",#FC965A
Wake Up Orange,0308A,"rgb(245,128,56)",#F58038
Imperial Light,0309P,"rgb(240,231,221)",#F0E7DD
Glistening,0310P,"rgb(247,218,199)",#F7DAC7
Morning Crescent,0311P,"rgb(251,203,173)",#FBCBAD
Simmering Ridge,0312T,"rgb(250,188,145)",#FABC91
CHEERY TUNE,0313T/A,"rgb(252,173,121)",#FCAD79
Happy Day,0314A,"rgb(255,154,85)",#FF9A55
Good Day Sunshine,0315A,"rgb(244,139,52)",#F48B34
Ray of Light,0316P,"rgb(240,232,224)",#F0E8E0
Dandy Lion,0317P,"rgb(244,219,200)",#F4DBC8
Broadway Lights,0318P,"rgb(249,207,175)",#F9CFAF
Sandstone Skin,0319T,"rgb(253,196,153)",#FDC499
TOUCH THE SUN,0320T/A,"rgb(253,182,124)",#FDB67C
NAMAQUALAND,0321A,"rgb(255,167,92)",#FFA75C
Orange Surprise,0322A,"rgb(251,153,63)",#FB993F
Ivory Island,0323P,"rgb(233,218,213)",#E9DAD5
Wind Drift,0324P,"rgb(236,203,194)",#ECCBC2
Helios,0325P,"rgb(239,184,173)",#EFB8AD
Sandy Lane,0326T,"rgb(232,164,150)",#E8A496
Ceramic Peach,0327T,"rgb(220,139,124)",#DC8B7C
SPICE BOUNTY,0328A,"rgb(209,114,97)",#D17261
Baccarat,0329A,"rgb(209,89,69)",#D15945
Brushed Cotton,0330P,"rgb(233,219,213)",#E9DBD5
Downy Comfort,0331P,"rgb(234,201,191)",#EAC9BF
Harvest Peach,0332P,"rgb(235,185,169)",#EBB9A9
Western Peach,0333T,"rgb(234,167,149)",#EAA795
SPANISH BROCADE,0334T/A,"rgb(226,144,124)",#E2907C
DESERT VISTA,0335A,"rgb(217,119,95)",#D9775F
Sienna Sky,0336A,"rgb(198,92,62)",#C65C3E
Shell White,0337P,"rgb(233,217,212)",#E9D9D4
Apricot Whip,0338P,"rgb(238,204,192)",#EECCC0
Venice Square,0339P,"rgb(240,188,169)",#F0BCA9
Salmon Mousse,0340T,"rgb(232,170,149)",#E8AA95
Friendly Companion,0341T,"rgb(225,147,121)",#E19379
MOUNTAIN ROCK,0342A,"rgb(221,130,97)",#DD8261
Sunset in the Desert,0343A,"rgb(200,102,67)",#C86643
Ivory Pillar,0344P,"rgb(231,217,209)",#E7D9D1
Petite and Perfect,0345P,"rgb(235,203,188)",#EBCBBC
Peach Dawn,0346P,"rgb(235,189,167)",#EBBDA7
Romantic Overture,0347T,"rgb(236,175,147)",#ECAF93
African Light,0348T,"rgb(231,157,122)",#E79D7A
ALEX,0349A,"rgb(217,132,93)",#D9845D
Baked Earth,0350A,"rgb(200,105,60)",#C8693C
Pretty Parasol,0351P,"rgb(231,218,210)",#E7DAD2
Fairy&#39;s Dust,0352P,"rgb(235,204,187)",#EBCCBB
Pure Honey Glow,0353P,"rgb(237,192,168)",#EDC0A8
Sugar Shack,0354T,"rgb(233,176,146)",#E9B092
Lantern,0355T,"rgb(228,161,124)",#E4A17C
SAHARA WIND,0356A,"rgb(219,137,92)",#DB895C
Rich Amber,0357A,"rgb(207,117,64)",#CF7540
Orange Mallow,0358P,"rgb(231,220,211)",#E7DCD3
Baklava,0359P,"rgb(237,209,191)",#EDD1BF
Delicate Dawning,0360P,"rgb(240,195,168)",#F0C3A8
Foothills,0361T,"rgb(234,180,145)",#EAB491
SUNDROPS,0362T/A,"rgb(232,164,119)",#E8A477
ROCK PAINTING,0363A,"rgb(219,144,93)",#DB905D
African Amber,0364A,"rgb(209,125,61)",#D17D3D
Whipped Cream,0365P,"rgb(231,220,210)",#E7DCD2
Annabell,0366P,"rgb(234,208,190)",#EAD0BE
Pale Narcissus,0367P,"rgb(239,198,167)",#EFC6A7
Japura,0368T,"rgb(235,182,144)",#EBB690
Olea Orange,0369T,"rgb(234,172,123)",#EAAC7B
TASTE OF SUMMER,0370A,"rgb(227,155,97)",#E39B61
Gold Medal,0371A,"rgb(214,139,70)",#D68B46
Tequila Pearl,0372P,"rgb(221,205,199)",#DDCDC7
Chopped Nuts,0373P,"rgb(214,183,176)",#D6B7B0
Maple Pecan,0374T,"rgb(203,163,156)",#CBA39C
Coconut Macaroon,0375T,"rgb(197,145,134)",#C59186
ORANGE YOU GLAD,0376A,"rgb(186,123,110)",#BA7B6E
FREE STATE EARTH,0377A,"rgb(175,104,89)",#AF6859
Ginger Biscuit,0378A,"rgb(164,82,66)",#A45242
Creamy Fantasy,0379P,"rgb(225,207,199)",#E1CFC7
Walnut Spice,0380P,"rgb(216,186,177)",#D8BAB1
TOFFEE DELUXE,0381P/T,"rgb(211,167,155)",#D3A79B
Tartlet,0382T,"rgb(200,149,134)",#C89586
STARDUST PEACH,0383T/A,"rgb(189,131,113)",#BD8371
ANCIENT EARTH,0384A,"rgb(176,107,88)",#B06B58
Cave Painting,0385A,"rgb(167,90,67)",#A75A43
Coconut Cream,0386P,"rgb(227,209,201)",#E3D1C9
Nutmeg Dust,0387P,"rgb(218,188,178)",#DABCB2
Pumpkin Spice,0388T,"rgb(209,168,152)",#D1A898
Highland Buff,0389T,"rgb(205,153,135)",#CD9987
CANYON WALL,0390T/A,"rgb(192,133,111)",#C0856F
FRECKLE,0391A,"rgb(180,114,90)",#B4725A
Mystic Copper,0392A,"rgb(165,94,69)",#A55E45
Morning Clarens,0393P,"rgb(225,206,199)",#E1CEC7
You&#39;re My Sweetie,0394P,"rgb(219,189,176)",#DBBDB0
Pasta Primavera,0395T,"rgb(210,171,152)",#D2AB98
Warm Welcome,0396T,"rgb(201,152,133)",#C99885
CINNAMON CITY,0397T/A,"rgb(194,134,109)",#C2866D
CARROT SPICE,0398A,"rgb(185,118,91)",#B9765B
Spiced Cinnamon,0399A,"rgb(176,104,71)",#B06847
Pieces of Eight,0400P,"rgb(225,208,198)",#E1D0C6
Harvest Oat,0401P,"rgb(216,190,176)",#D8BEB0
Ripe Oats,0402T,"rgb(208,171,151)",#D0AB97
Strand of Gold,0403T,"rgb(200,155,131)",#C89B83
YUMMY,0404T/A,"rgb(191,138,109)",#BF8A6D
